,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY
RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,3,0,0,0,1,1,0,0,2,3,0,1,0,0,0,0,1,0,0,21,320,0,0,0,0,0,0,0,3,1,0,0,0,0,20,0,0,0,1,145,497,0,47,0,3,0,0,0,0,8,0,0,0,0,16,1,0,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,3,19,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,10,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,5,0,0,11,5,0,1,0,1,0,0,0,0,13,1,0,0,0,0,0,4,0,0,1,0,50,0,45,3,25,3,0,0,0,12,3,23,7,0,15,2,0,0,1,0,4,5,0,0,1,0,0,1,0,23,0,0,28,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,3,0,0,1,0,0,0,0,14,6,0,0,0,1,6,6,0,6,0,0,0,0,7,2,0,0,2,4,0,0,0,0,0,4,2,5,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,4,4,0
RS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,26,300,1,0,0,0,0,0,0,0,7,0,0,0,0,48,0,1,0,26,189,794,0,63,0,7,0,0,0,0,47,0,0,0,0,55,7,0,0,3,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,3,21,40,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,13,0,0,0,0,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,8,12,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,25,6,0,0,0,1,0,0,3,0,15,2,0,0,0,0,0,6,0,1,0,0,20,1,55,0,20,0,0,0,0,11,0,12,4,1,12,1,0,0,3,0,3,7,0,0,3,0,0,12,0,142,0,0,63,0,170,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5,0,0,1,0,0,0,0,10,7,0,0,0,0,9,4,0,13,0,0,7,0,3,20,1,0,8,2,0,0,0,0,0,6,6,12,0,2,5,0,0,0,0,0,3,0,1,6,1,0,0,0,0,2,5,5
RT,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,23,0,0,0,0,0,0,0,2,3,2,0,1,0,0,0,0,2,0,1,7,97,0,0,0,0,0,0,0,0,1,0,0,0,0,45,1,1,0,32,72,272,0,27,0,5,0,0,0,0,32,0,0,0,0,52,8,0,0,3,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,2,0,1,0,0,8,1,22,0,13,0,0,0,0,9,0,5,2,0,12,0,0,0,0,0,1,2,0,0,3,0,0,4,0,84,0,0,19,0,125,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,0,6,3,0,0,0,1,3,1,0,5,0,0,5,0,2,5,0,0,2,8,0,0,0,0,0,2,4,14,0,8,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,5,2
RV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,24,0,2,0,0,0,0,0,0,3,0,0,0,0,67,0,0,0,2,15,63,0,13,0,13,0,0,0,0,22,0,0,0,0,62,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,8,0,13,0,0,0,0,2,0,1,0,0,9,0,0,0,1,0,1,1,0,0,7,0,0,0,0,96,0,0,2,0,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,4,0,1,8,0,0,36,0,0,0,0,0,0,1,4,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0
RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,22,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
RY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,18,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,10,49,0,5,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,1,0,0,0,0,7,0,0,0,5,0,1,4,0,0,1,0,0,0,0,9,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,2,0,1,1,0,0,5,2,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,6,0
SA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,1,0,0,1,1,1,0,4,9,1,0,0,0,0,0,1,2,0,0,18,314,0,2,0,0,0,0,0,0,5,0,0,0,0,127,0,0,0,7,212,933,2,93,0,14,0,0,0,0,56,0,0,0,0,94,26,0,0,7,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,162,10,1,34,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,27,0,0,0,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,14,15,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,10,2,0,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0,0,1,0,0,31,3,47,2,54,1,0,0,0,13,2,18,10,0,37,1,0,0,2,0,13,1,0,0,3,0,0,32,0,250,0,0,68,0,350,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,0,0,2,0,0,0,0,9,5,0,0,0,0,7,5,0,7,0,0,17,0,4,41,0,0,32,18,0,0,0,0,0,6,9,21,0,6,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,3,1
SC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,1,0,0,3,7,0,0,1,0,0,0,2,0,0,1,1,33,0,3,0,0,0,0,0,0,1,0,0,0,0,16,0,3,0,4,26,200,0,26,0,3,0,0,0,0,15,0,0,0,0,25,7,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,1,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,4,2,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,22,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,34,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,6,3,9,0,16,0,0,0,0,6,0,11,8,0,19,0,0,0,1,0,5,2,0,0,0,0,0,5,0,44,0,0,23,0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,2,0,0,0,0,3,2,0,0,0,1,10,1,0,4,0,0,10,0,2,12,0,0,11,4,0,0,0,0,0,5,6,3,0,33,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,10,0
SD,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,73,1,0,0,2,3,1,0,0,8,1,0,0,0,0,0,11,10,0,0,21,239,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,174,491,0,57,0,2,0,0,0,0,18,0,0,0,0,4,0,0,0,2,2,5,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,102,0,6,21,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,14,0,0,0,0,0,0,0,0,6,0,1,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,0,2,0,0,0,0,0,0,14,1,0,0,0,7,0,0,11,5,0,0,0,1,0,0,10,0,32,0,0,0,0,0,0,4,1,4,0,1,149,0,32,0,27,2,0,0,0,26,7,122,77,0,13,6,0,0,3,0,8,14,0,0,0,0,0,2,0,11,0,0,29,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,90,2,0,0,0,0,0,0,0,6,25,0,0,0,0,15,16,0,12,0,0,9,0,10,3,1,0,21,19,0,0,0,0,0,3,3,23,0,10,17,0,0,0,0,0,5,0,0,5,2,0,0,0,0,3,6,6
SE,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,20,0,0,0,1,0,3,0,3,11,0,0,4,0,0,0,11,16,0,0,25,311,0,1,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0,1,212,954,0,103,0,2,0,0,0,0,3,0,0,0,0,8,1,0,0,2,3,2,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,145,1,10,41,0,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,31,1,0,0,1,0,6,0,0,8,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,11,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,16,2,0,0,1,10,0,0,3,3,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,0,6,0,1,218,2,53,5,43,2,0,0,0,23,3,148,89,0,23,5,0,0,0,0,9,3,0,0,0,0,0,0,0,18,0,0,95,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,54,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,117,9,0,0,1,0,0,0,0,11,31,2,0,0,2,43,21,0,4,0,0,6,0,2,3,0,0,4,15,0,0,0,0,0,5,10,13,0,3,2,0,0,0,0,0,4,0,1,2,1,0,0,0,0,1,1,4
SF,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,1,1,0,6,0,1,0,0,0,0,0,7,3,0,0,3,17,1,5,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,27,124,0,11,0,0,0,0,0,0,9,0,0,0,0,20,6,0,0,2,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,2,0,13,0,0,17,0,0,0,0,10,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,10,0,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,6,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,2,1,0,0,0,55,1,7,0,58,0,0,0,0,6,1,26,20,0,75,1,0,0,1,0,5,1,0,0,6,0,0,3,0,43,0,0,9,0,67,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,35,9,0,0,0,0,0,0,0,13,18,3,0,0,6,20,10,0,0,0,0,18,0,3,19,0,0,13,3,0,0,0,0,0,3,5,7,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
SG,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,260,0,0,0,1,6,4,0,10,151,5,0,9,0,0,0,2,8,0,0,25,619,0,9,0,0,0,0,0,6,5,0,0,0,0,121,0,0,0,24,310,1433,1,402,0,16,0,0,0,0,52,0,0,0,0,113,10,0,0,1,1,1,13,73,0,0,0,0,0,3,0,0,1,0,0,0,0,0,174,35,9,32,0,0,0,0,0,0,0,15,3,0,0,0,0,5,2,0,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,1,0,2,0,0,15,0,2,0,0,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,15,62,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,15,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,50,7,0,0,0,0,0,0,8,0,23,1,0,0,0,0,0,8,0,3,0,1,39,1,171,3,42,2,0,0,0,35,0,11,4,1,18,0,0,0,16,0,11,15,0,0,10,0,0,19,0,176,0,0,130,0,294,6,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,107,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,2,10,9,0,0,2,0,0,0,0,11,15,0,0,0,1,11,2,0,13,0,0,12,0,17,23,0,0,33,34,0,0,0,0,0,8,20,38,0,44,8,0,0,0,0,1,12,0,3,1,4,3,0,0,0,8,54,2
SH,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,1,0,13,0,2,11,1,0,0,0,0,0,2,13,0,0,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,51,194,0,31,0,3,0,0,0,0,7,0,0,0,0,8,1,0,0,1,1,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,43,3,1,9,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,8,0,0,0,1,0,4,0,0,15,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,13,1,0,13,10,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,4,0,1,0,2,119,3,16,3,56,2,0,0,0,16,3,70,27,0,37,3,0,0,0,0,1,0,0,0,1,0,0,1,0,24,0,0,21,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,64,4,0,0,1,0,0,0,0,12,5,0,0,1,3,25,8,0,4,0,0,8,0,2,6,0,0,3,13,0,0,0,0,0,4,3,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1
SI,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,3,1,0,0,0,0,0,1,1,0,0,2,45,0,3,0,0,0,0,0,0,2,0,0,0,0,92,0,0,0,4,46,127,0,17,0,6,0,0,0,0,22,0,0,0,0,56,2,0,0,2,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,9,0,0,10,0,0,0,0,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,5,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3,6,0,0,9,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,1,0,1,17,5,11,2,56,1,0,0,0,7,0,17,11,2,107,1,0,0,0,0,1,0,0,0,5,0,0,2,0,113,0,0,9,0,127,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,0,0,0,0,0,0,0,10,0,0,0,0,4,5,2,0,1,0,0,17,0,1,19,0,0,13,2,0,0,0,0,0,2,6,9,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,5,0
SK,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,1,0,0,0,4,4,0,3,19,3,0,2,0,0,0,1,8,0,0,23,302,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,0,0,1,118,566,1,49,0,1,0,0,0,0,10,0,0,0,0,7,2,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,61,0,6,18,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,2,0,1,0,0,13,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,8,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,6,0,0,3,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,10,0,3,147,1,34,3,27,3,0,0,0,21,2,101,39,0,19,3,1,0,0,0,3,3,0,0,0,0,0,1,0,22,0,0,60,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,53,4,0,0,0,0,0,0,0,10,22,0,0,1,0,14,14,0,3,2,0,3,0,1,4,0,0,1,10,0,0,0,0,0,0,3,13,0,2,1,0,0,0,0,0,5,0,1,2,2,1,0,0,0,1,2,2
